anime_name;song_name;andy_score;alex_score;astik_score;trim_start;trim_duration;download_url
Fate/stay night UBW;Aimer - Brave Shine;9.7;9;10;30;30;https://www.youtube.com/watch?v=tA0EEJj4hU0&ab_channel=CrunchyrollCollection
Shingeki no Kyojin;Shinzou wo Sasageyo!;9.5;9.5;9.5;30;30;https://www.youtube.com/watch?v=6hQa7J-kEn0&ab_channel=TriaxFx
Gintama;SPYAIR - Sakuramitsutsuki;9.5;10;9;30;30;https://www.youtube.com/watch?v=DOTi2YB726I
Black Clover;Vickeblanka - Black Catcher;9.3;9;10;30;30;https://www.youtube.com/watch?v=PiauQ7P7mtQ
Shingeki no Kyojin;SiM - The Rumbling;9.3;10;9;30;30;https://www.youtube.com/watch?v=W37W5GslZQo
Naruto Shippuden;Flow - Sign;9.3;9.5;9.5;30;30;https://www.youtube.com/watch?v=Qw9iMfRBDf0
Kimetsu no Yaiba;Aimer - Zankyou Sanka;9.2;8.5;9.5;30;30;https://www.youtube.com/watch?v=aaZq6SXXNt4
Naruto Shippuden;Joe Inoue - Closer;9;9.5;9.5;30;30;https://www.youtube.com/watch?v=gxTIr0o1GiE
Haikyuu!;Spyair - Imagination;9;9.5;9;30;30;https://www.youtube.com/watch?v=5GjbLOe_cgw
Nanatsu No Taizai;FLOW × GRANRODEO Howling;9;8.5;9.5;30;30;https://www.youtube.com/watch?v=Tu-WyAn1zWg
Jujutsu Kaisen;Eve - 廻廻奇譚;8.8;8.5;9.5;30;30;https://www.youtube.com/watch?v=ICpzoZozwCU
My Hero Academia;Kenshi Yonezu Song: Peace Sign;8.8;8;9.5;30;30;https://www.youtube.com/watch?v=Ua5UARWRYLA
Rainbow: Nisha Rokubō no Shichinin;Coldrain - We're Not Alone;8.8;8.5;9;30;30;https://www.youtube.com/watch?v=XCz3QiLNyDI
Umineko no naku koro ni;Katayoku no Tori;8.7;8.5;9;30;30;https://www.youtube.com/watch?v=frfompwkApw
Bleach;Ranbu no Melody by SID;8.7;8.5;8.5;30;30;https://www.youtube.com/watch?v=JBqxVX_LXvk
Angel Beats;Lia - my soul, your beats;8.7;8;10;30;30;https://www.youtube.com/watch?v=9jvVBVcZ0-Y&ab_channel=AnimeGuy
Clannad;Toki wo kizamu uta;8.7;8;10;30;30;https://www.youtube.com/watch?v=Lfr_jr0z6jE
Higurashi no naku koro ni: Kai;Naraku no Hana;8.7;8;10;30;30;https://www.youtube.com/watch?v=tdBAkc8n6Hk&ab_channel=aleksex
Haikyuu!;BURNOUT SYNDROMES - Hikariare;8.5;9.5;8;30;30;https://www.youtube.com/watch?v=Lc08QxI_9q8&ab_channel=Dusza_Torpedowej_Dziewczyny
FMAB;Period by CHEMISTRY;8.5;8;8.5;30;30;https://www.youtube.com/watch?v=faqmNf_fZlE
Ergo Proxy;Kiri - MONORAL;8.5;9;8;30;30;https://www.youtube.com/watch?v=WpJ8oP0ZWoc
